perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
Hs.562888,0,1,,Not reviewed,,not screened
LOC652887,0,1,,Not reviewed,,not screened
TMEM129,0,1,,Not reviewed,,not screened
Hs.565851,0,1,,Not reviewed,,not screened
SNN,0,1,,Not reviewed,,not screened
LOC644961,0,1,,Not reviewed,,not screened
RBM22,0,1,,Not reviewed,,not screened
Hs.584577,0,1,,Not reviewed,,not screened
HAS3,0,1,,Not reviewed,,not screened
KIAA0182,0,1,,Not reviewed,,not screened
COPS8,0,1,,Not reviewed,,not screened
Hs.161925,0,1,,Not reviewed,,not screened
VIP,0,1,,Not reviewed,,not screened
Hs.574176,0,1,,Not reviewed,,not screened
GTF2IP1,0,1,,Not reviewed,,not screened
Hs.433011,0,1,,Not reviewed,,not screened
Hs.545102,0,1,,Not reviewed,,not screened
Hs.562119,0,1,,Not reviewed,,not screened
LOC646960,0,1,,Not reviewed,,not screened
LOC388931,0,1,,Not reviewed,,not screened
PHF14,0,1,,Not reviewed,,screened
MGC21830,0,1,,Not reviewed,,not screened
LOC400464,0,1,,Not reviewed,,not screened
Hs.576820,0,1,,Not reviewed,,not screened
MOBKL2A,0,1,,Not reviewed,,not screened
LOC391859,0,1,,Not reviewed,,not screened
SF3B1,0,1,,Not reviewed,,not screened
Hs.543005,0,1,,Not reviewed,,not screened
Hs.543975,0,1,,Not reviewed,,not screened
PSMB5,0,1,,Not reviewed,,not screened
Hs.443260,0,1,,Not reviewed,,not screened
SLCO1A2,0,1,,Not reviewed,,not screened
LOC391322,0,1,,Not reviewed,,not screened
NUDCD2,0,1,,Not reviewed,,not screened
Hs.428832,0,1,,Not reviewed,,not screened
Hs.547240,0,1,,Not reviewed,,not screened
Hs.554149,0,1,,Not reviewed,,not screened
RNF24,0,1,,Not reviewed,,not screened
Hs.544279,0,1,,Not reviewed,,not screened
Hs.495641,0,1,,Not reviewed,,not screened
Hs.539427,0,1,,Not reviewed,,not screened
Hs.311524,0,1,,Not reviewed,,not screened
TRIM40,0,1,,Not reviewed,,not screened
TFB1M,0,1,,Not reviewed,,not screened
SPSB1,0,1,,Not reviewed,,not screened
Hs.483540,0,1,,Not reviewed,,not screened
Hs.546173,0,1,,Not reviewed,,not screened
Hs.290694,0,1,,Not reviewed,,not screened
Hs.543197,0,1,,Not reviewed,,not screened
LOC651913,0,1,,Not reviewed,,not screened
GNAT2,0,1,,Not reviewed,,not screened
VPS28,0,1,,Not reviewed,,not screened
WDR47,0,1,,Not reviewed,,not screened
Hs.571194,0,1,,Not reviewed,,not screened
Hs.123663,0,1,,Not reviewed,,not screened
UNQ739,0,1,,Not reviewed,,not screened
LOC649974,0,1,,Not reviewed,,not screened
KIAA0980,0,1,,Not reviewed,,not screened
PHKB,0,1,,Not reviewed,,not screened
Hs.574014,0,1,,Not reviewed,,not screened
LOC642650,0,1,,Not reviewed,,not screened
RAPSN,0,1,,Not reviewed,,not screened
ARMETL1,0,1,,Not reviewed,,not screened
LOC653145,0,1,,Not reviewed,,not screened
RPS21,0,1,,Not reviewed,,not screened
LOC643844,0,1,,Not reviewed,,not screened
Hs.568789,0,1,,Not reviewed,,not screened
TLCD1,0,1,,Not reviewed,,not screened
LMBRD1,0,1,,Not reviewed,,not screened
Hs.20798,0,1,,Not reviewed,,not screened
ALDH1B1,0,1,,Not reviewed,,not screened
LOC442065,0,1,,Not reviewed,,not screened
LOC650132,0,1,,Not reviewed,,not screened
Hs.538304,0,1,,Not reviewed,,not screened
Hs.554383,0,1,,Not reviewed,,not screened
Hs.232934,0,1,,Not reviewed,,not screened
Hs.382029,0,1,,Not reviewed,,not screened
Hs.541095,0,1,,Not reviewed,,not screened
Hs.544572,0,1,,Not reviewed,,not screened
SLC13A1,0,1,,Not reviewed,,not screened
Hs.364630,0,1,,Not reviewed,,not screened
Hs.566160,0,1,,Not reviewed,,not screened
SLC35A1,0,1,,Not reviewed,,not screened
Hs.542321,0,1,,Not reviewed,,not screened
CUBN,0,1,,Not reviewed,,not screened
ADCY1,0,1,,Not reviewed,,not screened
Hs.575983,0,1,,Not reviewed,,not screened
Hs.583920,0,1,,Not reviewed,,not screened
Hs.292338,0,1,,Not reviewed,,not screened
LOC390999,0,1,,Not reviewed,,not screened
LOC283951,0,1,,Not reviewed,,not screened
WDR60,0,1,,Not reviewed,,not screened
KSP37,0,1,,Not reviewed,,not screened
IBRDC2,0,1,,Not reviewed,,not screened
Hs.397803,0,1,,Not reviewed,,not screened
Hs.540591,0,1,,Not reviewed,,not screened
ATHL1,0,1,,Not reviewed,,not screened
Hs.266687,0,1,,Not reviewed,,not screened
HOXC11,0,1,,Not reviewed,,not screened
TRIM16,0,1,,Not reviewed,,not screened
FSD2,0,1,,Not reviewed,,not screened
S100Z,0,1,,Not reviewed,,not screened
Hs.544265,0,1,,Not reviewed,,not screened
Hs.569199,0,1,,Not reviewed,,not screened
Hs.515297,0,1,,Not reviewed,,not screened
LOC651483,0,1,,Not reviewed,,not screened
Hs.145962,0,1,,Not reviewed,,not screened
Hs.563300,0,1,,Not reviewed,,not screened
LOC647778,0,1,,Not reviewed,,not screened
LOC643070,0,1,,Not reviewed,,not screened
MGC52498,0,1,,Not reviewed,,not screened
Hs.571901,0,1,,Not reviewed,,not screened
Hs.22930,0,1,,Not reviewed,,not screened
ATXN1,0,1,,Not reviewed,,not screened
Hs.147867,0,1,,Not reviewed,,not screened
LOC652258,0,1,,Not reviewed,,not screened
RLN2,0,1,,Not reviewed,,not screened
Hs.579352,0,1,,Not reviewed,,not screened
ATP5D,0,1,,Not reviewed,,not screened
Hs.566853,0,1,,Not reviewed,,not screened
Hs.543590,0,1,,Not reviewed,,not screened
Hs.570961,0,1,,Not reviewed,,not screened
LOC93622,0,1,,Not reviewed,,not screened
LOC653671,0,1,,Not reviewed,,not screened
TTLL6,0,1,,Not reviewed,,not screened
Hs.542420,0,1,,Not reviewed,,not screened
Hs.581755,0,1,,Not reviewed,,not screened
Hs.563099,0,1,,Not reviewed,,not screened
KLHL22,0,1,,Not reviewed,,not screened
Hs.530183,0,1,,Not reviewed,,not screened
HECTD2,0,1,,Not reviewed,,screened
RetSat,0,1,,Not reviewed,,not screened
Hs.149695,0,1,,Not reviewed,,not screened
DEFB136,0,1,,Not reviewed,,not screened
Hs.582738,0,1,,Not reviewed,,not screened
C12orf4,0,1,,Not reviewed,,not screened
WSB1,0,1,,Not reviewed,,not screened
Hs.30495,0,1,,Not reviewed,,not screened
LCE3C,0,1,,Not reviewed,,not screened
DYNLL2,0,1,,Not reviewed,,not screened
Hs.129310,0,1,,Not reviewed,,not screened
LOC647584,0,1,,Not reviewed,,not screened
PHACTR1,0,1,,Not reviewed,,not screened
ASB2,0,1,,Not reviewed,,not screened
Hs.565655,0,1,,Not reviewed,,not screened
POSTN,0,1,,Not reviewed,,not screened
Hs.555563,0,1,,Not reviewed,,not screened
AK1,0,1,,Not reviewed,,not screened
KIAA0514,0,1,,Not reviewed,,not screened
QRICH1,0,1,,Not reviewed,,not screened
Hs.535215,0,1,,Not reviewed,,not screened
Hs.573401,0,1,,Not reviewed,,not screened
TBX2,0,1,,Not reviewed,,not screened
FKSG24,0,1,,Not reviewed,,not screened
Hs.584556,0,1,,Not reviewed,,not screened
Hs.509375,0,1,,Not reviewed,,not screened
LIME1,0,1,,Not reviewed,,not screened
Hs.86046,0,1,,Not reviewed,,not screened
Hs.561088,0,1,,Not reviewed,,not screened
Hs.573951,0,1,,Not reviewed,,not screened
Hs.245751,0,1,,Not reviewed,,not screened
Hs.564863,0,1,,Not reviewed,,not screened
Hs.565683,0,1,,Not reviewed,,not screened
C6orf1,0,1,,Not reviewed,,not screened
Hs.561717,0,1,,Not reviewed,,not screened
LOC649768,0,1,,Not reviewed,,not screened
Hs.580238,0,1,,Not reviewed,,not screened
Hs.171186,0,1,,Not reviewed,,not screened
TLX2,0,1,,Not reviewed,,not screened
FLJ33860,0,1,,Not reviewed,,not screened
Hs.538841,0,1,,Not reviewed,,not screened
Hs.120208,0,1,,Not reviewed,,not screened
LOC285453,0,1,,Not reviewed,,not screened
Hs.518926,0,1,,Not reviewed,,not screened
Hs.566426,0,1,,Not reviewed,,not screened
SLC7A10,0,1,,Not reviewed,,not screened
Hs.541022,0,1,,Not reviewed,,not screened
Hs.553127,0,1,,Not reviewed,,not screened
MCL1,0,1,,Not reviewed,,not screened
LOC645373,0,1,,Not reviewed,,not screened
MAP2K1,0,1,,Not reviewed,,not screened
LOC643516,0,1,,Not reviewed,,not screened
Hs.552968,0,1,,Not reviewed,,not screened
MAN2C1,0,1,,Not reviewed,,not screened
Hs.580883,0,1,,Not reviewed,,not screened
Hs.147846,0,1,,Not reviewed,,not screened
Hs.127462,0,1,,Not reviewed,,not screened
CHCHD1,0,1,,Not reviewed,,not screened
LOC642005,0,1,,Not reviewed,,not screened
Hs.207484,0,1,,Not reviewed,,not screened
Hs.444793,0,1,,Not reviewed,,not screened
OR3A2,0,1,,Not reviewed,,not screened
Hs.171345,0,1,,Not reviewed,,not screened
KRT24,0,1,,Not reviewed,,not screened
CDK7,0,1,,Not reviewed,,not screened
PRTN3,0,1,,Not reviewed,,not screened
LOC642938,0,1,,Not reviewed,,not screened
MTM1,0,1,,Not reviewed,,not screened
LOC645462,0,1,,Not reviewed,,not screened
EPHX1,0,1,,Not reviewed,,not screened
TAAR8,0,1,,Not reviewed,,not screened
LOC647322,0,1,,Not reviewed,,not screened
Hs.570134,0,1,,Not reviewed,,not screened
LOC401268,0,1,,Not reviewed,,not screened
ZYG11BL,0,1,,Not reviewed,,not screened
RPL14L,0,1,,Not reviewed,,not screened
Hs.538475,0,1,,Not reviewed,,not screened
BCL2,0,1,,Not reviewed,,not screened
ACAD10,0,1,,Not reviewed,,not screened
EGR4,0,1,,Not reviewed,,not screened
LOC645967,0,1,,Not reviewed,,not screened
Hs.437130,0,1,,Not reviewed,,not screened
Hs.533337,0,1,,Not reviewed,,not screened
PTGER1,0,1,,Not reviewed,,not screened
LOC649318,0,1,,Not reviewed,,not screened
SIGLEC5,0,1,,Not reviewed,,not screened
Hs.547861,0,1,,Not reviewed,,not screened
LOC650698,0,1,,Not reviewed,,not screened
Hs.573226,0,1,,Not reviewed,,not screened
Hs.582298,0,1,,Not reviewed,,not screened
PDHA2,0,1,,Not reviewed,,not screened
Hs.551391,0,1,,Not reviewed,,not screened
Hs.544875,0,1,,Not reviewed,,not screened
Hs.530201,0,1,,Not reviewed,,not screened
C12orf50,0,1,,Not reviewed,,not screened
Hs.209573,0,1,,Not reviewed,,not screened
ADAM9,0,1,,Not reviewed,,not screened
Hs.258510,0,1,,Not reviewed,,not screened
FLJ20464,0,1,,Not reviewed,,not screened
LOC646680,0,1,,Not reviewed,,not screened
Hs.569284,0,1,,Not reviewed,,not screened
Hs.577387,0,1,,Not reviewed,,not screened
Hs.582335,0,1,,Not reviewed,,not screened
PAPOLA,0,1,,Not reviewed,,not screened
ZC3H10,0,1,,Not reviewed,,not screened
RAD9B,0,1,,Not reviewed,,not screened
CLEC4F,0,1,,Not reviewed,,not screened
Hs.444059,0,1,,Not reviewed,,not screened
MATN2,0,1,,Not reviewed,,not screened
LOC647855,0,1,,Not reviewed,,not screened
LOC653451,0,1,,Not reviewed,,not screened
Hs.571583,0,1,,Not reviewed,,not screened
LMNB2,0,1,,Not reviewed,,not screened
Hs.542687,0,1,,Not reviewed,,not screened
Hs.436191,0,1,,Not reviewed,,not screened
PCYT1B,0,1,,Not reviewed,,not screened
Hs.427242,0,1,,Not reviewed,,not screened
Hs.577921,0,1,,Not reviewed,,not screened
C17orf57,0,1,,Not reviewed,,not screened
FKBP5,0,1,,Not reviewed,,not screened
LW-1,0,1,,Not reviewed,,not screened
LOC651429,0,1,,Not reviewed,,not screened
SUMF1,0,1,,Not reviewed,,not screened
RDH16,0,1,,Not reviewed,,not screened
Hs.545417,0,1,,Not reviewed,,not screened
ANKHD1,0,1,,Not reviewed,,not screened
ZNF572,0,1,,Not reviewed,,not screened
EFTUD2,0,1,,Not reviewed,,not screened
ZNF509,0,1,,Not reviewed,,not screened
C13orf3,0,1,,Not reviewed,,not screened
GPR111,0,1,,Not reviewed,,not screened
NENF,0,1,,Not reviewed,,not screened
LOC648024,0,1,,Not reviewed,,not screened
LOC648859,0,1,,Not reviewed,,not screened
Hs.386387,0,1,,Not reviewed,,not screened
Hs.521575,0,1,,Not reviewed,,not screened
ZDHHC16,0,1,,Not reviewed,,not screened
Hs.574105,0,1,,Not reviewed,,not screened
C20orf74,0,1,,Not reviewed,,not screened
Hs.553095,0,1,,Not reviewed,,not screened
PSMC4,0,1,,Not reviewed,,not screened
LOC650528,0,1,,Not reviewed,,not screened
APOE,0,1,,Not reviewed,,not screened
SLC35B4,0,1,,Not reviewed,,not screened
LOC642943,0,1,,Not reviewed,,not screened
Hs.540874,0,1,,Not reviewed,,not screened
UTRN,0,1,,Not reviewed,,not screened
PAK3,0,1,,Not reviewed,,not screened
C9orf130,0,1,,Not reviewed,,not screened
LOC649383,0,1,,Not reviewed,,not screened
Hs.565939,0,1,,Not reviewed,,not screened
LOC647169,0,1,,Not reviewed,,not screened
TMEM92,0,1,,Not reviewed,,not screened
LOC647677,0,1,,Not reviewed,,not screened
RHOB,0,1,,Not reviewed,,not screened
LOC653293,0,1,,Not reviewed,,not screened
Hs.207121,0,1,,Not reviewed,,not screened
Hs.544814,0,1,,Not reviewed,,not screened
Hs.166545,0,1,,Not reviewed,,not screened
SNAPC2,0,1,,Not reviewed,,not screened
INT4,0,1,,Not reviewed,,not screened
LOC136306,0,1,,Not reviewed,,not screened
USP29,0,1,,Not reviewed,,not screened
FOXA3,0,1,,Not reviewed,,not screened
Hs.442106,0,1,,Not reviewed,,not screened
LOC647650,0,1,,Not reviewed,,not screened
MAGI1,0,1,,Not reviewed,,not screened
Hs.541150,0,1,,Not reviewed,,not screened
Hs.539657,0,1,,Not reviewed,,not screened
Hs.562405,0,1,,Not reviewed,,not screened
Hs.564488,0,1,,Not reviewed,,not screened
Hs.569711,0,1,,Not reviewed,,not screened
SFRS1,0,1,,Not reviewed,,not screened
Hs.566011,0,1,,Not reviewed,,not screened
Hs.567104,0,1,,Not reviewed,,not screened
Hs.580020,0,1,,Not reviewed,,not screened
HIST1H3I,0,1,,Not reviewed,,not screened
IFI30,0,1,,Not reviewed,,not screened
MGC39662,0,1,,Not reviewed,,not screened
FLJ31659,0,1,,Not reviewed,,not screened
Hs.478682,0,1,,Not reviewed,,not screened
CD37,0,1,,Not reviewed,,not screened
Hs.145250,0,1,,Not reviewed,,not screened
ZNF18,0,1,,Not reviewed,,not screened
Hs.583140,0,1,,Not reviewed,,not screened
HOXB5,0,1,,Not reviewed,,not screened
ST8SIA1,0,1,,Not reviewed,,not screened
LOC646329,0,1,,Not reviewed,,not screened
LOC642965,0,1,,Not reviewed,,not screened
C21orf100,0,1,,Not reviewed,,not screened
Hs.560586,0,1,,Not reviewed,,not screened
Hs.570789,0,1,,Not reviewed,,not screened
TREX2,0,1,,Not reviewed,,not screened
C12orf57,0,1,,Not reviewed,,not screened
Hs.515322,0,1,,Not reviewed,,not screened
LOC440910,0,1,,Not reviewed,,not screened
LOC643772,0,1,,Not reviewed,,not screened
LOC652595,0,1,,Not reviewed,,not screened
MGC3265,0,1,,Not reviewed,,not screened
LOC342931,0,1,,Not reviewed,,not screened
Hs.122368,0,1,,Not reviewed,,not screened
CAPSL,0,1,,Not reviewed,,not screened
Hs.441628,0,1,,Not reviewed,,not screened
CMKOR1,0,1,,Not reviewed,,not screened
WBSCR18,0,1,,Not reviewed,,not screened
LOC442480,0,1,,Not reviewed,,not screened
FBXL19,0,1,,Not reviewed,,not screened
LOC647435,0,1,,Not reviewed,,not screened
ZNF551,0,1,,Not reviewed,,not screened
IL9R,0,1,,Not reviewed,,not screened
LOC388572,0,1,,Not reviewed,,not screened
DOCK4,0,1,,Not reviewed,,not screened
TRPS1,0,1,,Not reviewed,,not screened
Hs.541762,0,1,,Not reviewed,,not screened
Hs.547700,0,1,,Not reviewed,,not screened
MGC34713,0,1,,Not reviewed,,not screened
LOC643965,0,1,,Not reviewed,,not screened
NEU3,0,1,,Not reviewed,,not screened
FLJ31132,0,1,,Not reviewed,,not screened
PAPOLG,0,1,,Not reviewed,,not screened
GRIK2,0,1,,Not reviewed,,not screened
Hs.577438,0,1,,Not reviewed,,not screened
LOC650713,0,1,,Not reviewed,,not screened
ZXDA,0,1,,Not reviewed,,not screened
Hs.151148,0,1,,Not reviewed,,not screened
Hs.507367,0,1,,Not reviewed,,not screened
Hs.540201,0,1,,Not reviewed,,not screened
LOC441016,0,1,,Not reviewed,,not screened
WBSCR14,0,1,,Not reviewed,,not screened
FLJ44048,0,1,,Not reviewed,,not screened
Hs.469510,0,1,,Not reviewed,,not screened
Hs.272401,0,1,,Not reviewed,,not screened
H2AFB3,0,1,,Not reviewed,,not screened
RNPEPL1,0,1,,Not reviewed,,not screened
Hs.584652,0,1,,Not reviewed,,not screened
Hs.539626,0,1,,Not reviewed,,not screened
Hs.572079,0,1,,Not reviewed,,not screened
TRPC3,0,1,,Not reviewed,,not screened
Hs.544257,0,1,,Not reviewed,,not screened
LOC651619,0,1,,Not reviewed,,not screened
Hs.543604,0,1,,Not reviewed,,not screened
SNAPC4,0,1,,Not reviewed,,screened
Hs.563138,0,1,,Not reviewed,,not screened
LOC648576,0,1,,Not reviewed,,not screened
CDC26,0,1,,Not reviewed,,not screened
PRLR,0,1,,Not reviewed,,not screened
ZNF567,0,1,,Not reviewed,,not screened
OR2T3,0,1,,Not reviewed,,not screened
Hs.160964,0,1,,Not reviewed,,not screened
Hs.532632,0,1,,Not reviewed,,not screened
Hs.512095,0,1,,Not reviewed,,not screened
LOC116412,0,1,,Not reviewed,,not screened
LOC652492,0,1,,Not reviewed,,not screened
LOC339970,0,1,,Not reviewed,,not screened
TRIM60,0,1,,Not reviewed,,not screened
Hs.560298,0,1,,Not reviewed,,not screened
GPR174,0,1,,Not reviewed,,not screened
KIAA1107,0,1,,Not reviewed,,not screened
TTLL11,0,1,,Not reviewed,,not screened
Hs.569449,0,1,,Not reviewed,,not screened
Hs.570972,0,1,,Not reviewed,,not screened
KIAA0423,0,1,,Not reviewed,,not screened
SNRPA1,0,1,,Not reviewed,,not screened
COG6,0,1,,Not reviewed,,not screened
Hs.574401,0,1,,Not reviewed,,not screened
LOC653735,0,1,,Not reviewed,,not screened
UBAP1,0,1,,Not reviewed,,not screened
LOC641807,0,1,,Not reviewed,,not screened
Hs.544853,0,1,,Not reviewed,,not screened
BECN1,0,1,,Not reviewed,,not screened
Hs.567121,0,1,,Not reviewed,,not screened
Hs.565390,0,1,,Not reviewed,,not screened
ZNF441,0,1,,Not reviewed,,not screened
FBXL13,0,1,,Not reviewed,,not screened
Hs.70723,0,1,,Not reviewed,,not screened
Hs.46689,0,1,,Not reviewed,,not screened
C1orf144,0,1,,Not reviewed,,not screened
Hs.542880,0,1,,Not reviewed,,not screened
Hs.561704,0,1,,Not reviewed,,not screened
Hs.565269,0,1,,Not reviewed,,not screened
Hs.544065,0,1,,Not reviewed,,not screened
FCGR2B,0,1,,Not reviewed,,not screened
OR8J3,0,1,,Not reviewed,,not screened
AQP6,0,1,,Not reviewed,,not screened
Hs.568759,0,1,,Not reviewed,,not screened
LOC647447,0,1,,Not reviewed,,not screened
MAGEB2,0,1,,Not reviewed,,not screened
Hs.300262,0,1,,Not reviewed,,not screened
ADAT1,0,1,,Not reviewed,,not screened
Hs.150643,0,1,,Not reviewed,,not screened
MRC2,0,1,,Not reviewed,,not screened
Hs.566912,0,1,,Not reviewed,,not screened
GHRH,0,1,,Not reviewed,,not screened
Hs.553015,0,1,,Not reviewed,,not screened
Hs.542533,0,1,,Not reviewed,,not screened
FLJ42291,0,1,,Not reviewed,,not screened
Hs.576126,0,1,,Not reviewed,,not screened
Hs.380012,0,1,,Not reviewed,,not screened
ADK,0,1,,Not reviewed,,not screened
Hs.185515,0,1,,Not reviewed,,not screened
ADRA1D,0,1,,Not reviewed,,not screened
ANKRA2,0,1,,Not reviewed,,not screened
DAOA,0,1,,Not reviewed,,not screened
LOC647208,0,1,,Not reviewed,,not screened
Hs.544158,0,1,,Not reviewed,,not screened
Hs.30972,0,1,,Not reviewed,,not screened
DSCR1L2,0,1,,Not reviewed,,not screened
CENPE,0,1,,Not reviewed,,not screened
Hs.547647,0,1,,Not reviewed,,not screened
MRGPRX2,0,1,,Not reviewed,,not screened
Hs.539305,0,1,,Not reviewed,,not screened
FLJ35740,0,1,,Not reviewed,,not screened
LOC643923,0,1,,Not reviewed,,not screened
RN7SK,0,1,,Not reviewed,,not screened
CER1,0,1,,Not reviewed,,not screened
LOC286094,0,1,,Not reviewed,,not screened
Hs.566316,0,1,,Not reviewed,,not screened
SCRN2,0,1,,Not reviewed,,not screened
HMBOX1,0,1,,Not reviewed,,not screened
SALL1,0,1,,Not reviewed,,not screened
LOC644642,0,1,,Not reviewed,,not screened
Hs.577839,0,1,,Not reviewed,,not screened
Hs.575229,0,1,,Not reviewed,,not screened
Hs.562118,0,1,,Not reviewed,,not screened
RFC2,0,1,,Not reviewed,,not screened
Hs.580577,0,1,,Not reviewed,,not screened
Hs.583057,0,1,,Not reviewed,,not screened
LOC653899,0,1,,Not reviewed,,not screened
Hs.542011,0,1,,Not reviewed,,not screened
Hs.568234,0,1,,Not reviewed,,not screened
LOC653803,0,1,,Not reviewed,,not screened
Hs.520397,0,1,,Not reviewed,,not screened
LOC641815,0,1,,Not reviewed,,not screened
LOC132321,0,1,,Not reviewed,,not screened
HIST1H2BD,0,1,,Not reviewed,,not screened
Hs.142880,0,1,,Not reviewed,,not screened
LOC654174,0,1,,Not reviewed,,not screened
IQCH,0,1,,Not reviewed,,not screened
Hs.143316,0,1,,Not reviewed,,not screened
Hs.95614,0,1,,Not reviewed,,not screened
CTXN1,0,1,,Not reviewed,,not screened
Hs.147320,0,1,,Not reviewed,,not screened
Hs.565900,0,1,,Not reviewed,,not screened
PRB2,0,1,,Not reviewed,,not screened
ITIH1,0,1,,Not reviewed,,not screened
Hs.583796,0,1,,Not reviewed,,not screened
PPP2R3A,0,1,,Not reviewed,,not screened
Hs.397886,0,1,,Not reviewed,,not screened
Hs.12548,0,1,,Not reviewed,,not screened
Hs.535372,0,1,,Not reviewed,,not screened
IHPK3,0,1,,Not reviewed,,not screened
CPT1A,0,1,,Not reviewed,,not screened
FGF14,0,1,,Not reviewed,,not screened
LOC652605,0,1,,Not reviewed,,not screened
LOC641742,0,1,,Not reviewed,,not screened
Hs.148693,0,1,,Not reviewed,,not screened
Hs.46727,0,1,,Not reviewed,,not screened
USP8,0,1,,Not reviewed,,not screened
OR10H1,0,1,,Not reviewed,,not screened
NINJ1,0,1,,Not reviewed,,not screened
RPL28,0,1,,Not reviewed,,not screened
LOC339879,0,1,,Not reviewed,,not screened
Hs.529590,0,1,,Not reviewed,,not screened
Hs.568749,0,1,,Not reviewed,,not screened
Hs.573029,0,1,,Not reviewed,,not screened
LOC645669,0,1,,Not reviewed,,not screened
Hs.417966,0,1,,Not reviewed,,not screened
FLJ13149,0,1,,Not reviewed,,not screened
ABTB2,0,1,,Not reviewed,,not screened
FUT1,0,1,,Not reviewed,,not screened
Hs.577522,0,1,,Not reviewed,,not screened
ZCCHC8,0,1,,Not reviewed,,not screened
LOC647254,0,1,,Not reviewed,,not screened
RBMY1D,0,1,,Not reviewed,,not screened
ARID1A,0,1,,Not reviewed,,screened
LOC649106,0,1,,Not reviewed,,not screened
Hs.570267,0,1,,Not reviewed,,not screened
LOC648931,0,1,,Not reviewed,,not screened
MGC4728,0,1,,Not reviewed,,not screened
C2orf19,0,1,,Not reviewed,,not screened
Hs.497442,0,1,,Not reviewed,,not screened
PKNOX1,0,1,,Not reviewed,,not screened
Hs.543500,0,1,,Not reviewed,,not screened
C8ORFK36,0,1,,Not reviewed,,not screened
C1orf89,0,1,,Not reviewed,,not screened
Hs.147540,0,1,,Not reviewed,,not screened
KIFC2,0,1,,Not reviewed,,not screened
GDPD5,0,1,,Not reviewed,,not screened
Hs.434338,0,1,,Not reviewed,,not screened
Hs.563922,0,1,,Not reviewed,,not screened
LOC652616,0,1,,Not reviewed,,not screened
LOC649536,0,1,,Not reviewed,,not screened
Hs.512087,0,1,,Not reviewed,,not screened
Hs.581170,0,1,,Not reviewed,,not screened
Hs.60556,0,1,,Not reviewed,,not screened
LOC348262,0,1,,Not reviewed,,not screened
Hs.207964,0,1,,Not reviewed,,not screened
Hs.574849,0,1,,Not reviewed,,not screened
STAG2,0,1,,Not reviewed,,not screened
Hs.364872,0,1,,Not reviewed,,not screened
Hs.554699,0,1,,Not reviewed,,not screened
Hs.232291,0,1,,Not reviewed,,not screened
FTHL11,0,1,,Not reviewed,,not screened
SFRS3,0,1,,Not reviewed,,not screened
LOC442382,0,1,,Not reviewed,,not screened
GCDH,0,1,,Not reviewed,,not screened
MIOX,0,1,,Not reviewed,,not screened
TRIM14,0,1,,Not reviewed,,not screened
KRTAP5-6,0,1,,Not reviewed,,not screened
NUP93,0,1,,Not reviewed,,not screened
FLJ10916,0,1,,Not reviewed,,not screened
C6orf168,0,1,,Not reviewed,,not screened
ERVK6,0,1,,Not reviewed,,not screened
CNOT2,0,1,,Not reviewed,,not screened
LOC285407,0,1,,Not reviewed,,not screened
Hs.572594,0,1,,Not reviewed,,not screened
Hs.532348,0,1,,Not reviewed,,not screened
DNAJB4,0,1,,Not reviewed,,not screened
MUTED,0,1,,Not reviewed,,not screened
ORF1-FL49,0,1,,Not reviewed,,not screened
Hs.582780,0,1,,Not reviewed,,not screened
EPS15L1,0,1,,Not reviewed,,not screened
Hs.233495,0,1,,Not reviewed,,not screened
C1D,0,1,,Not reviewed,,not screened
Hs.560895,0,1,,Not reviewed,,not screened
SLITL2,0,1,,Not reviewed,,not screened
Hs.22305,0,1,,Not reviewed,,not screened
Hs.559886,0,1,,Not reviewed,,not screened
Hs.582216,0,1,,Not reviewed,,not screened
PPIAL4,0,1,,Not reviewed,,not screened
Hs.7004,0,1,,Not reviewed,,not screened
Hs.274911,0,1,,Not reviewed,,not screened
LOC647131,0,1,,Not reviewed,,not screened
Hs.362492,0,1,,Not reviewed,,not screened
RP13-15M17.2,0,1,,Not reviewed,,not screened
MGC34732,0,1,,Not reviewed,,not screened
GRTP1,0,1,,Not reviewed,,not screened
LOC644332,0,1,,Not reviewed,,not screened
KCNK17,0,1,,Not reviewed,,not screened
ZNF306,0,1,,Not reviewed,,not screened
Hs.200764,0,1,,Not reviewed,,not screened
LOC647533,0,1,,Not reviewed,,not screened
LOC647493,0,1,,Not reviewed,,not screened
LOC388117,0,1,,Not reviewed,,not screened
Hs.165855,0,1,,Not reviewed,,not screened
Hs.534532,0,1,,Not reviewed,,not screened
Hs.545393,0,1,,Not reviewed,,not screened
SLC24A5,0,1,,Not reviewed,,not screened
TEX9,0,1,,Not reviewed,,not screened
Hs.576035,0,1,,Not reviewed,,not screened
DCAKD,0,1,,Not reviewed,,not screened
CORO7,0,1,,Not reviewed,,not screened
PROX1,0,1,,Not reviewed,,not screened
Hs.543242,0,1,,Not reviewed,,not screened
Hs.134548,0,1,,Not reviewed,,not screened
LOC388630,0,1,,Not reviewed,,not screened
LOC644753,0,1,,Not reviewed,,not screened
NUDT17,0,1,,Not reviewed,,not screened
Hs.543523,0,1,,Not reviewed,,not screened
Hs.562318,0,1,,Not reviewed,,not screened
LOC652714,0,1,,Not reviewed,,not screened
Hs.580714,0,1,,Not reviewed,,not screened
Hs.534144,0,1,,Not reviewed,,not screened
Hs.543791,0,1,,Not reviewed,,not screened
Hs.152258,0,1,,Not reviewed,,not screened
