perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
Hs.543514,0,1,,Not reviewed,,not screened
Hs.536012,0,1,,Not reviewed,,not screened
Hs.92993,0,1,,Not reviewed,,not screened
LOC647796,0,1,,Not reviewed,,not screened
Hs.567203,0,1,,Not reviewed,,not screened
PADI2,0,1,,Not reviewed,,not screened
C20orf6,0,1,,Not reviewed,,not screened
FLJ44817,0,1,,Not reviewed,,not screened
Hs.584273,0,1,,Not reviewed,,not screened
Hs.191317,0,1,,Not reviewed,,not screened
LBP,0,1,,Not reviewed,,not screened
PRG2,0,1,,Not reviewed,,not screened
CDCA3,0,1,,Not reviewed,,not screened
ALG2,0,1,,Not reviewed,,not screened
MFN1,0,1,,Not reviewed,,not screened
Hs.562125,0,1,,Not reviewed,,not screened
TNXA,0,1,,Not reviewed,,not screened
Hs.159853,0,1,,Not reviewed,,not screened
Hs.566017,0,1,,Not reviewed,,not screened
Hs.543708,0,1,,Not reviewed,,not screened
Hs.542758,0,1,,Not reviewed,,not screened
Hs.571835,0,1,,Not reviewed,,not screened
IPPK,0,1,,Not reviewed,,not screened
Hs.565708,0,1,,Not reviewed,,not screened
OR9A2,0,1,,Not reviewed,,not screened
Hs.549873,0,1,,Not reviewed,,not screened
Hs.544898,0,1,,Not reviewed,,not screened
Hs.561730,0,1,,Not reviewed,,not screened
RPS2,0,1,,Not reviewed,,not screened
Hs.564434,0,1,,Not reviewed,,not screened
Hs.544495,0,1,,Not reviewed,,not screened
C3orf56,0,1,,Not reviewed,,not screened
Hs.473425,0,1,,Not reviewed,,not screened
SEC10L1,0,1,,Not reviewed,,not screened
Hs.567918,0,1,,Not reviewed,,not screened
Hs.561620,0,1,,Not reviewed,,not screened
Hs.545643,0,1,,Not reviewed,,not screened
Hs.428472,0,1,,Not reviewed,,not screened
LOC648200,0,1,,Not reviewed,,not screened
Hs.574919,0,1,,Not reviewed,,not screened
Hs.541486,0,1,,Not reviewed,,not screened
ADRA1A,0,1,,Not reviewed,,not screened
Hs.561594,0,1,,Not reviewed,,not screened
Hs.564315,0,1,,Not reviewed,,not screened
Hs.560799,0,1,,Not reviewed,,not screened
Hs.538782,0,1,,Not reviewed,,not screened
C6orf10,0,1,,Not reviewed,,not screened
Hs.436679,0,1,,Not reviewed,,not screened
Hs.446026,0,1,,Not reviewed,,not screened
KCNK12,0,1,,Not reviewed,,not screened
PABPN1,0,1,,Not reviewed,,not screened
LOC652875,0,1,,Not reviewed,,not screened
NKG7,0,1,,Not reviewed,,not screened
TLE1,0,1,,Not reviewed,,not screened
DMD,0,1,,Not reviewed,,not screened
RILP,0,1,,Not reviewed,,not screened
FGF11,0,1,,Not reviewed,,not screened
LGMN,0,1,,Not reviewed,,not screened
Hs.545585,0,1,,Not reviewed,,not screened
DMRTC1,0,1,,Not reviewed,,not screened
HIST1H2BE,0,1,,Not reviewed,,not screened
Hs.537757,0,1,,Not reviewed,,not screened
LOC654069,0,1,,Not reviewed,,not screened
Hs.579418,0,1,,Not reviewed,,not screened
EGLN3,0,1,,Not reviewed,,not screened
UBL7,0,1,,Not reviewed,,not screened
C7orf20,0,1,,Not reviewed,,not screened
Hs.566074,0,1,,Not reviewed,,not screened
SRRM1L,0,1,,Not reviewed,,not screened
POLR1C,0,1,,Not reviewed,,not screened
Hs.575062,0,1,,Not reviewed,,not screened
Hs.541113,0,1,,Not reviewed,,not screened
Hs.565752,0,1,,Not reviewed,,not screened
Hs.178185,0,1,,Not reviewed,,not screened
LOC650662,0,1,,Not reviewed,,not screened
Hs.573141,0,1,,Not reviewed,,not screened
Hs.132700,0,1,,Not reviewed,,not screened
C15orf28,0,1,,Not reviewed,,not screened
C6orf115,0,1,,Not reviewed,,not screened
PTPRCAP,0,1,,Not reviewed,,not screened
