perturbation,brunello.neg.score,brunello.neg.p.value,brunello.neg.fdr,brunello.neg.goodsgrna,brunello.neg.lfc,brunello.pos.score,brunello.pos.p.value,brunello.pos.fdr,brunello.pos.goodsgrna,brunello.pos.lfc,gecko.num,gecko.neg.score,gecko.neg.p.value,gecko.neg.fdr,gecko.neg.goodsgrna,gecko.neg.lfc,gecko.pos.score,gecko.pos.p.value,gecko.pos.fdr,gecko.pos.goodsgrna,gecko.pos.lfc
MAPK3,0.45391,0.56223,1,1,0.52315,0.0018741,0.0066958,0.377527,3,0.52315,3,0.91236,0.91243,1,0,0.28685,0.1314,0.2236,0.990266,2,0.28685
MAPK4,0.76929,0.76957,1,1,0.18111,0.18261,0.30939,1,2,0.18111,3,0.95279,0.95308,1,0,0.14733,0.12765,0.21869,0.990266,2,0.14733
MAPK6,0.2596,0.39139,1,2,-0.099661,0.78785,0.7877,1,1,-0.099661,3,0.89275,0.8928,1,0,0.027722,0.44197,0.50632,1,1,0.027722
MAPK7,0.76096,0.76186,1,1,0.15961,0.1468,0.27025,1,2,0.15961,3,0.081756,0.15698,0.997474,2,-0.26488,0.93731,0.93751,1,0,-0.26488
MAPK8,1.77E-06,5.17E-06,0.004332,3,-0.69938,0.29764,0.43395,1,1,-0.69938,3,9.23E-06,3.33E-05,0.055693,3,-1.1401,0.9993,0.9993,1,0,-1.1401
MAPK8IP1,0.29376,0.42859,1,2,-0.40032,0.50697,0.59446,1,1,-0.40032,3,0.92493,0.925,1,0,0.056745,0.12966,0.22134,0.990266,2,0.056745
MAPK8IP2,0.49157,0.58116,1,1,-0.085056,0.59624,0.64402,1,1,-0.085056,3,0.39085,0.47268,1,1,0.11017,0.069684,0.14143,0.985525,2,0.11017
MAPK8IP3,0.23258,0.36175,1,2,-0.22823,0.12973,0.25159,1,1,-0.22823,3,0.33115,0.43822,1,1,0.16231,0.11978,0.20834,0.990266,2,0.16231
MAPK9,0.053659,0.12614,1,2,-0.11007,0.20103,0.32941,1,1,-0.11007,3,0.81614,0.81609,1,0,0.092667,0.2131,0.32897,0.997365,2,0.092667
MAPKAP1,0.00077387,0.0028325,0.434774,3,-0.65237,0.95274,0.95267,1,0,-0.65237,3,0.19969,0.31172,1,2,-0.321,0.85567,0.85574,1,0,-0.321
MAPKAPK2,0.88814,0.88806,1,0,0.28713,0.069427,0.15719,1,3,0.28713,3,0.55697,0.5819,1,1,-0.11968,0.91909,0.91914,1,0,-0.11968
MAPKAPK3,0.95691,0.9568,1,0,0.098744,0.32638,0.46495,1,1,0.098744,3,0.033583,0.083502,0.95736,3,-0.19168,0.96642,0.96657,1,0,-0.19168
MAPKAPK5,0.88799,0.88792,1,0,0.18054,0.11875,0.23962,1,2,0.18054,3,0.69491,0.69578,1,1,0.094863,0.21916,0.33649,0.997365,2,0.094863
MAPKBP1,0.2386,0.36835,1,1,-0.033061,0.94045,0.94044,1,0,-0.033061,3,0.82028,0.82032,1,0,0.25891,0.11332,0.19984,0.990266,2,0.25891
